gene,weight
MYBL2,-0.5365652403848862
EXO1,0.529230415194051
CDC20,-0.4190923218890851
CEP55,-0.3301658015626009
ESR1,0.296762959972942
NAT1,-0.287230445934853
PTTG1,0.2811381987953302
UBE2C,0.2711510064063333
FOXC1,0.24451809317650358
MLPH,-0.24161340989348468
SFRP1,-0.22594501429441044
MIA,-0.22259565704575912
BLVRA,-0.19928768292667984
MDM2,-0.19283558645598822
ACTR3B,-0.17865750453337226
MELK,-0.17543161114395323
KIF2C,0.1735564463779227
CDH3,0.16837721174204914
ANLN,0.1390555239935673
CXXC5,0.12841897586619297
GPR160,-0.12112449146101761
MYC,-0.11525549895229306
FGFR4,0.1119521609274417
KRT17,-0.10968841511701168
NUF2,-0.10656347314315841
PHGDH,0.08331734178858476
UBE2T,0.0760746268527401
MAPT,0.07577254865016765
BIRC5,0.07227195024873993
PGR,-0.07195044604111257
EGFR,0.07076216217270791
MMP11,-0.06404593623210167
CCNB1,0.058368009253718066
BCL2,-0.048269752514738584
KRT14,0.04533509814638219
MKI67,0.04357732495169285
GRB7,-0.040624874132306796
RRM2,0.032338436540877535
TYMS,0.02508355899128143
BAG1,0.02164482948630726
CCNE1,-0.01839430147754326
SLC39A6,-0.015856494787905157
KRT5,-0.01575180403584296
TMEM45B,-0.012111126571543063
ERBB2,0.006637731908796881
FOXA1,-0.004469489684088133
ORC6,0.0037030466566552148
CENPF,0.00249071917758349
CDC6,-9.415418981610806e-4
