Cohort,Endpoint,N,Events,FU med (mo),HR uni (95%CI),p (uni),C_adj (95%CI),HR age-adj,p (age-adj)
TCGA_BRCA,OS,1072,150,32,1.20 (1.04–1.40),0.0158,0.624 (0.572–0.678),1.27 (1.09–1.48),0.0023
METABRIC,DSS,1978,646,159,1.41 (1.31–1.52),3.45e-19,0.638 (0.615–0.659),1.41 (1.31–1.53),3.07e-19
GSE20685,OS,327,83,112.8,1.40 (1.12–1.76),0.0034,0.623 (0.562–0.683),1.40 (1.12–1.76),0.0032
