model,estimator,k_cohorts,pooled_logOR,pooled_se_logOR,pooled_OR,pooled_OR_lo95,pooled_OR_hi95,p_pooled,I2_pct,tau2,Q_stat,Q_df,p_heterogeneity
RE,DerSimonian-Laird,4,0.522356,0.100222,1.686,1.3853,2.0519,1.868e-7,0,0,1.556,3,0.6694
FE,IVW,4,0.522356,0.100222,1.686,1.3853,2.0519,1.868e-7,NA,NA,1.556,3,0.6694
