cohort,analysis,n_total,n_pcr1,pcr_rate,genes_total,genes_present,coverage_pct,logOR,se_logOR,or_per_1SD,or_ci_lo95_wald,or_ci_hi95_wald,or_ci_lo95_boot,or_ci_hi95_boot,p_value,auc,auc_ci_lo95,auc_ci_hi95,adj_vars
ISPY2,univariate,986,319,0.3235,24,24,100,0.5216189010151641,0.07525648509638848,1.6847528913215306,1.4537060470790946,1.9525214953321466,1.4738798245951699,1.9514259189734402,4.172404602775891e-12,0.6484965064637492,0.6132840065227441,0.6837090064047544,none
ISPY2,adjusted_hr_her2_arm,986,319,0.3235,24,24,100,0.39508752700973143,0.09003058326391802,1.4845141203165209,1.244367767683812,1.7710055103091549,NA,NA,1.1420327077239246e-5,0.7380507859277908,0.7050674427481318,0.7710341291074498,hr+her2+arm
ISPY2,control_paclitaxel_only,179,31,0.1732,24,24,100,0.3664586192452525,0.20789398894431685,1.4426167027471606,0.9598160772380439,2.16827265181238,NA,NA,0.07794794740952503,0.6013513513513513,0.4951796267903618,0.7075230759123408,none_control_arm_only
