timestamp,script,cohort,file_type,path,sha256,status,size_mb
2026-02-28T13:38:17Z,01_download_raw_data.R,GSE96058,Expression_supp_cached_GSE96058_transcript_expression_3273_samples_and_136_replicates.csv.gz,./01_Base_Pura_CorePAM/RAW/GSE96058/GSE96058_transcript_expression_3273_samples_and_136_replicates.csv.gz,e7887661a043c62dcd6341967cd7fc3510717bd994754fab4c654d24f81a13b9,INTEGRO_CACHED,820.844
2026-02-28T13:38:17Z,01_download_raw_data.R,GSE96058,Expression_supp_cached_GSE96058_UCSC_hg38_knownGenes_22sep2014.gtf.gz,./01_Base_Pura_CorePAM/RAW/GSE96058/GSE96058_UCSC_hg38_knownGenes_22sep2014.gtf.gz,5fb633e7a94a87db9acbb1dd05f0761427fefedf58e1320ee10401d3d2a267ec,INTEGRO_CACHED,19.845
2026-02-28T13:38:17Z,01_download_raw_data.R,GSE96058,Clinical_raw,./01_Base_Pura_CorePAM/RAW/GSE96058/GSE96058_clinical_raw.rds,f4519806fe0190bc605531bfe595e1ba94492b255f1f1225c8515d7a751fdd50,INTEGRO_CACHED,0.276
2026-02-28T13:38:19Z,01_download_raw_data.R,METABRIC,Package_tarball,./01_Base_Pura_CorePAM/RAW/METABRIC/brca_metabric.tar.gz,6d4683477d6b37a2d7edbedc0df610f67bc456f99e5e1bef6219f37b633a55f7,INTEGRO_CACHED,486.681
2026-02-28T13:38:23Z,01_download_raw_data.R,METABRIC,Extracted_expression,./01_Base_Pura_CorePAM/RAW/METABRIC/brca_metabric/data_mrna_illumina_microarray.txt,b8aa84ea4d205483e4b2c2794a5eac6e73d4644e0f13e74c940f8e3d81d93dd6,INTEGRO,657.325
2026-02-28T13:38:23Z,01_download_raw_data.R,METABRIC,Extracted_clin_patient,./01_Base_Pura_CorePAM/RAW/METABRIC/brca_metabric/data_clinical_patient.txt,2a6bbadc6e4b2b07c0505559d438da959fc5c9aba55c7194abc394e2d6454995,INTEGRO,0.389
2026-02-28T13:38:23Z,01_download_raw_data.R,METABRIC,Extracted_clin_sample,./01_Base_Pura_CorePAM/RAW/METABRIC/brca_metabric/data_clinical_sample.txt,9a2291e065e2a0a5337b4eaeb09836e70b1bc3e1ed17714a013b53515697e6dc,INTEGRO,0.285
2026-02-28T14:07:45Z,01_download_raw_data.R,TCGA_BRCA,Expression_SE_counts,./01_Base_Pura_CorePAM/RAW/TCGA_BRCA/TCGA_BRCA_SE_counts_raw.rds,d3fbfa2190543ca785c5037ab4fafca6582b3bc93ff365c3344cb437074dbe1f,INTEGRO,653.432
2026-02-28T14:08:02Z,01_download_raw_data.R,TCGA_BRCA,Clinical_raw,./01_Base_Pura_CorePAM/RAW/TCGA_BRCA/TCGA_BRCA_clinical_raw.rds,5c250b1bf71f7062258bd404db3280019f17effde401ac695653c08ec171dc0f,INTEGRO,0.13
2026-02-28T14:09:14Z,01_download_raw_data.R,GSE20685,Expression_supp_1,./01_Base_Pura_CorePAM/RAW/GSE20685/GSE20685_RAW.tar,3a71f8d1a30293094e57eef60f4e44f9118f63135ee6d280af8c790ca4463aa6,INTEGRO,2672.656
