cohort_row,SCANB,TCGA_BRCA,METABRIC,GSE20685,GSE1456
SCANB,NA,0.9993123657211797,0.9948135462917778,0.9860270546239356,0.9824185683668085
TCGA_BRCA,0.9993123657211797,NA,0.9922825308531508,0.9832691795313016,0.9793830220215419
METABRIC,0.9948135462917778,0.9922825308531508,NA,0.9969376537361683,0.9947947034873634
GSE20685,0.9860270546239356,0.9832691795313016,0.9969376537361683,NA,0.9977298540121213
GSE1456,0.9824185683668085,0.9793830220215419,0.9947947034873634,0.9977298540121213,NA
