cohort,gene,present,in_pam50
METABRIC,ACCSL,TRUE,FALSE
METABRIC,ACD,TRUE,FALSE
METABRIC,ACE,TRUE,FALSE
METABRIC,ACE2,TRUE,FALSE
METABRIC,ACER1,TRUE,FALSE
METABRIC,ACER2,TRUE,FALSE
METABRIC,ACER3,TRUE,FALSE
METABRIC,ACHE,TRUE,FALSE
METABRIC,ACIN1,TRUE,FALSE
METABRIC,ACKR1,TRUE,FALSE
METABRIC,ACKR2,TRUE,FALSE
METABRIC,ACKR3,TRUE,FALSE
METABRIC,ACKR4,TRUE,FALSE
METABRIC,ACLY,TRUE,FALSE
METABRIC,ACMSD,TRUE,FALSE
METABRIC,ACO1,TRUE,FALSE
METABRIC,ACO2,TRUE,FALSE
METABRIC,ACOD1,TRUE,FALSE
METABRIC,ACOT1,TRUE,FALSE
METABRIC,ACOT11,TRUE,FALSE
METABRIC,ACOT12,TRUE,FALSE
METABRIC,ACOT13,TRUE,FALSE
METABRIC,ACOT2,TRUE,FALSE
METABRIC,ACOT4,TRUE,FALSE
METABRIC,ACOT6,TRUE,FALSE
METABRIC,ACOT7,TRUE,FALSE
METABRIC,ACOT8,TRUE,FALSE
METABRIC,ACOT9,TRUE,FALSE
METABRIC,ACOX1,TRUE,FALSE
METABRIC,ACOX2,TRUE,FALSE
METABRIC,ACOX3,TRUE,FALSE
METABRIC,ACOXL,TRUE,FALSE
METABRIC,ACOXL-AS1,TRUE,FALSE
METABRIC,ACP1,TRUE,FALSE
METABRIC,ACP2,TRUE,FALSE
METABRIC,ACP3,TRUE,FALSE
METABRIC,ACP4,TRUE,FALSE
METABRIC,ACP5,TRUE,FALSE
METABRIC,ACP6,TRUE,FALSE
METABRIC,ACP7,TRUE,FALSE
METABRIC,ACR,TRUE,FALSE
METABRIC,ACRBP,TRUE,FALSE
METABRIC,ACRV1,TRUE,FALSE
METABRIC,ACSBG1,TRUE,FALSE
METABRIC,ACSBG2,TRUE,FALSE
METABRIC,ACSF2,TRUE,FALSE
METABRIC,ACSF3,TRUE,FALSE
METABRIC,ACSL1,TRUE,FALSE
METABRIC,ACSL3,TRUE,FALSE
METABRIC,ACSL4,TRUE,FALSE
METABRIC,ACSL5,TRUE,FALSE
METABRIC,ACSL6,TRUE,FALSE
METABRIC,ACSM1,TRUE,FALSE
METABRIC,ACSM2A,TRUE,FALSE
