cohort,endpoint,n_samples,n_events,spearman_rho,hr_corepam,hr_corepam_lo95,hr_corepam_hi95,p_corepam,loghr_corepam,se_loghr_corepam,c_corepam,c_corepam_lo95,c_corepam_hi95,hr_pam50full,hr_pam50full_lo95,hr_pam50full_hi95,p_pam50full,loghr_pam50full,se_loghr_pam50full,c_pam50full,c_pam50full_lo95,c_pam50full_hi95,genes_corepam,genes_pam50full
SCAN-B,OS,3069,322,0.8791784617764177,1.922632763334313,1.7361622095199565,2.129130977726218,3.561019953048222e-36,0.6536954776644303,0.05205117437490222,0.6977726404349424,0.6682265057632604,0.7309492770223802,2.1184254138360443,1.9130223798816204,2.345882767071507,3.5491897562125665e-47,0.7506730834012262,0.05203600422030662,0.7233653823599169,0.6971969030360007,0.7548625314948543,24,49
TCGA-BRCA,OS,1072,150,0.8434245810271364,1.2042006608991946,1.0355644582553156,1.4002983784834948,0.01578016881281857,0.1858159948764892,0.0769755708342275,0.6238014322126472,0.5723936080675123,0.6789364769441466,1.258429327327273,1.084527059304872,1.4602165601035444,0.0024508149375667984,0.22986437774090268,0.07587913706110906,0.631417647772788,0.5811678760402486,0.6895354411062331,23,48
METABRIC,DSS,1978,646,0.896538241292544,1.4121840803548236,1.3094201016111877,1.5230130302366207,3.447117411156975e-19,0.34513749909705904,0.038548223851705914,0.6375571606498359,0.6125626050629117,0.6578634361678282,1.3448106026765592,1.2478501815634269,1.4493050398128788,8.531289691352989e-15,0.2962531872844599,0.03817976858649195,0.6156792912533978,0.5914662707594169,0.6380196698382299,24,49
GSE20685,OS,327,83,0.7694379275362518,1.400697653738441,1.117792662509522,1.7552037895683188,0.003418774856300216,0.33697043659787934,0.11511157080965717,0.6231327358087921,0.5628209887167169,0.683919675071536,1.1994671381152238,0.9642124306520812,1.492120791727754,0.10251246087977477,0.18187740660321308,0.11139033840746318,0.5536586522502016,0.5044215733998414,0.6139523168898565,22,43
