cohort,n,n_events,hr_observed,hr_bootstrap_median,hr_boot_lo95,hr_boot_hi95,sd_loghr,prop_hr_below_1
SCANB,224,35,2.533,2.567,1.446,4.888,0.314,0
METABRIC,439,186,0.973,0.972,0.83,1.149,0.082,0.626
