"cohort","endpoint","N","events","mode","c24","c50","delta_c","dc_lo","dc_hi","cor_lp","genes24","genes50"
"TCGA_BRCA","OS",1072,150,"intra",0.623801432212647,0.631417647772788,-0.0076162155601408,-0.0380185681382604,0.02157652826558,0.85301681568949,23,48
"TCGA_BRCA","OS",1072,150,"frozen",0.624044180118946,0.633860298579925,-0.0098161184609783,-0.0392135813812712,0.0198904093807777,0.863869413547793,23,48
"METABRIC","DSS",1978,646,"intra",0.637578752147786,0.615664518123222,0.0219142340245643,0.0109158004133731,0.0320563835593548,0.902101689793421,24,49
"METABRIC","DSS",1978,646,"frozen",0.638221951507768,0.62150104093748,0.0167209105702882,0.00722777600689516,0.0268935722483551,0.913752567954383,24,49
"GSE20685","OS",327,83,"intra",0.626167781097359,0.571299852989994,0.0548679281073647,0.00979557344854677,0.101065654781002,0.822661035219604,24,49
"GSE20685","OS",327,83,"frozen",0.590505998956703,0.543984445392896,0.046521553563807,0.00686277174530793,0.0850752029912581,0.84332051663262,24,49
"GSE1456","OS",159,40,"intra",0.661338289962825,0.563940520446097,0.0973977695167286,0.0317460317460317,0.165542921102504,0.696702669545768,21,42
"GSE1456","OS",159,40,"frozen",0.621747211895911,0.510408921933086,0.111338289962825,0.0450273972043835,0.180506025681562,0.616729258900508,21,42
