cohort,gene,present,in_pam50
SCANB,ACCS,TRUE,FALSE
SCANB,ACCSL,TRUE,FALSE
SCANB,ACD,TRUE,FALSE
SCANB,ACE,TRUE,FALSE
SCANB,ACE2,TRUE,FALSE
SCANB,ACER1,TRUE,FALSE
SCANB,ACER2,TRUE,FALSE
SCANB,ACER3,TRUE,FALSE
SCANB,ACHE,TRUE,FALSE
SCANB,ACIN1,TRUE,FALSE
SCANB,ACKR1,TRUE,FALSE
SCANB,ACKR2,TRUE,FALSE
SCANB,ACKR3,TRUE,FALSE
SCANB,ACKR4,TRUE,FALSE
SCANB,ACLY,TRUE,FALSE
SCANB,ACMSD,TRUE,FALSE
SCANB,ACO1,TRUE,FALSE
SCANB,ACO2,TRUE,FALSE
SCANB,ACOD1,TRUE,FALSE
SCANB,ACOT1,TRUE,FALSE
SCANB,ACOT11,TRUE,FALSE
SCANB,ACOT12,TRUE,FALSE
SCANB,ACOT13,TRUE,FALSE
SCANB,ACOT2,TRUE,FALSE
SCANB,ACOT4,TRUE,FALSE
SCANB,ACOT6,TRUE,FALSE
SCANB,ACOT7,TRUE,FALSE
SCANB,ACOT8,TRUE,FALSE
SCANB,ACOT9,TRUE,FALSE
SCANB,ACOX1,TRUE,FALSE
SCANB,ACOX2,TRUE,FALSE
SCANB,ACOX3,TRUE,FALSE
SCANB,ACOXL,TRUE,FALSE
SCANB,ACP1,TRUE,FALSE
SCANB,ACP2,TRUE,FALSE
SCANB,ACP3,TRUE,FALSE
SCANB,ACP4,TRUE,FALSE
SCANB,ACP5,TRUE,FALSE
SCANB,ACP6,TRUE,FALSE
SCANB,ACP7,TRUE,FALSE
SCANB,ACR,TRUE,FALSE
SCANB,ACRBP,TRUE,FALSE
SCANB,ACRV1,TRUE,FALSE
SCANB,ACSBG1,TRUE,FALSE
SCANB,ACSBG2,TRUE,FALSE
SCANB,ACSF2,TRUE,FALSE
SCANB,ACSF3,TRUE,FALSE
SCANB,ACSL1,TRUE,FALSE
SCANB,ACSL3,TRUE,FALSE
SCANB,ACSL4,TRUE,FALSE
SCANB,ACSL5,TRUE,FALSE
SCANB,ACSL6,TRUE,FALSE
SCANB,ACSM1,TRUE,FALSE
SCANB,ACSM2A,TRUE,FALSE
SCANB,ACSM2B,TRUE,FALSE
SCANB,ACSM3,TRUE,FALSE
SCANB,ACSM4,TRUE,FALSE
SCANB,ACSM5,TRUE,FALSE
SCANB,ACSM6,TRUE,FALSE
SCANB,ACSS1,TRUE,FALSE
SCANB,ACSS2,TRUE,FALSE
SCANB,ACSS3,TRUE,FALSE
SCANB,ACTA1,TRUE,FALSE
SCANB,ACTA2,TRUE,FALSE
SCANB,ACTB,TRUE,FALSE
SCANB,ACTBL2,TRUE,FALSE
SCANB,ACTC1,TRUE,FALSE
SCANB,ACTG1,TRUE,FALSE
SCANB,ACTG1P4,TRUE,FALSE
SCANB,ACTG2,TRUE,FALSE
SCANB,ACTL10,TRUE,FALSE
SCANB,ACTL6A,TRUE,FALSE
SCANB,ACTL6B,TRUE,FALSE
SCANB,ACTL7A,TRUE,FALSE
SCANB,ACTL7B,TRUE,FALSE
SCANB,ACTL8,TRUE,FALSE
SCANB,ACTL9,TRUE,FALSE
SCANB,ACTMAP,TRUE,FALSE
SCANB,ACTN1,TRUE,FALSE
SCANB,ACTN1-DT,TRUE,FALSE
SCANB,ACTN2,TRUE,FALSE
SCANB,ACTN3,TRUE,FALSE
SCANB,ACTN4,TRUE,FALSE
SCANB,ACTR10,TRUE,FALSE
SCANB,ACTR1A,TRUE,FALSE
SCANB,ACTR1B,TRUE,FALSE
SCANB,ACTR2,TRUE,FALSE
SCANB,ACTR3,TRUE,FALSE
SCANB,ACTR3-AS1,TRUE,FALSE
SCANB,ACTR3B,TRUE,TRUE
SCANB,ACTR3BP2,TRUE,FALSE
SCANB,ACTR3BP5,TRUE,FALSE
SCANB,ACTR3C,TRUE,FALSE
SCANB,ACTR5,TRUE,FALSE
SCANB,ACTR6,TRUE,FALSE
SCANB,ACTR8,TRUE,FALSE
