"cohort","platform","n","n_events","genes_present","hr_frozen","hr_frozen_lo95","hr_frozen_hi95","p_frozen","c_frozen","c_frozen_lo95","c_frozen_hi95","hr_intra","hr_intra_lo95","hr_intra_hi95","p_intra","c_intra","c_intra_lo95","c_intra_hi95","delta_c_frozen_vs_intra","cor_frozen_intra"
"SCANB","RNA-seq",3069,322,24,8.7354,6.2285,12.2513,3.561e-36,0.6978,0.6666,0.728,8.7354,6.2285,12.2513,3.561e-36,0.6978,0.6666,0.728,0,1
"TCGA_BRCA","RNA-seq",1072,150,23,1.6846,1.1039,2.5706,0.01558,0.624,0.5702,0.678,1.8808,1.1261,3.1411,0.01578,0.6238,0.5693,0.6774,2e-04,0.999
"METABRIC","Microarray",1978,646,24,4.0258,2.9609,5.4737,6.387e-19,0.6382,0.6158,0.6605,2.9969,2.3568,3.8108,3.447e-19,0.6376,0.6147,0.6594,7e-04,0.9577
"GSE20685","Microarray",327,83,24,1.6658,0.8909,3.1147,0.11,0.5905,0.5281,0.6531,3.3272,1.4936,7.4121,0.003265,0.6262,0.5647,0.6843,-0.0357,0.9231
"GSE1456","Microarray",159,40,21,5.88670525255002,1.25983748173174,27.506165860986,0.0242207244044522,0.621747211895911,0.541992144139114,0.701502279652708,6.89904564110346,2.10245326433048,22.6387104843378,0.00144428020989385,0.661338289962825,0.581821767932433,0.740854811993218,-0.0395910780669145,0.915585167544312
