sample_id,PC1,PC2,PC3,mahal_dist,is_outlier,pct_var_pc1,pct_var_pc2,pct_var_pc3,n_genes_pca
MB-0000,-10.377785147861658,15.315523472222948,11.159141011128142,12.845947790843379,FALSE,16.89,7.97,4.38,500
MB-0002,9.3808414234205,-0.8552452432539656,2.6807324902805365,1.3882110341280645,FALSE,16.89,7.97,4.38,500
MB-0005,1.8190430365071188,6.144750947079804,-1.6356629211839389,1.1090603390099412,FALSE,16.89,7.97,4.38,500
MB-0006,-0.6284589473029589,-0.9127646442885551,-4.053146854454037,0.7752901317568193,FALSE,16.89,7.97,4.38,500
MB-0008,0.8830099028668654,0.007865841727325996,-4.58900462059562,0.9702702770891355,FALSE,16.89,7.97,4.38,500
MB-0010,5.8621911021386754,-0.04045845611106584,-4.623394822009801,1.382412129125463,FALSE,16.89,7.97,4.38,500
MB-0014,8.414111985308757,8.163302309058727,1.3895278678165208,2.5991009121791455,FALSE,16.89,7.97,4.38,500
MB-0020,-6.806144880630339,7.161913534394669,-1.1223247226687425,1.8934859253906127,FALSE,16.89,7.97,4.38,500
MB-0022,-1.958209755063982,9.806650745775393,-3.28337500440227,2.9514211786112647,FALSE,16.89,7.97,4.38,500
MB-0028,6.202926890149316,-8.551498614592271,1.5699234971503275,2.403668495408457,FALSE,16.89,7.97,4.38,500
MB-0035,4.4216313990704625,-10.210101204576048,-1.761586710893672,2.9898524050707516,FALSE,16.89,7.97,4.38,500
MB-0036,9.49789979532456,0.6016001477334563,8.7249399121231,4.551134585009175,FALSE,16.89,7.97,4.38,500
MB-0039,9.966065208442707,-11.186609478510697,5.718422752696563,5.809487464323188,FALSE,16.89,7.97,4.38,500
MB-0045,-16.492659833608126,6.289739932354878,2.398733880820374,4.4761288236555306,FALSE,16.89,7.97,4.38,500
MB-0046,3.1492805685823613,-1.7346075607456348,-0.2497965776203478,0.19580137172167322,FALSE,16.89,7.97,4.38,500
MB-0048,-6.777063249798753,8.80570044801963,-2.7551313965408,2.8365881010614173,FALSE,16.89,7.97,4.38,500
